Column1,iso_code,location,pop2022,MSM_pop,imp_prob,imp_prob_percent,iso,lat,lon,country,WHO_CODE,CENTER_LON,CENTER_LAT,Country,first_repo,obs_imp_flag,asia_imp_flag,Note,color
18,KOR,"Korea, Republic of",51815.81,518158,1,100,KR,36.3695766035,127.824714211,"Korea, Republic of",KOR,127.824714211,36.3695766035,Republic of Korea,2023-03-13,1,1,NA,b_asia_import
8,CHN,China,1425887.337,14258873,0.5511182108626198,55.11182108626198,CN,36.5187473999,103.893513649,China,CHN,103.893513649,36.5187473999,China (mainlnad),2023-05-31,1,1,NA,b_asia_import
35,TWN,"Taiwan, Province of China",23893.394,238934,0.41214057507987223,41.21405750798722,TW,23.69781,120.960515,"Taiwan, Province of China",NA,NA,NA,Taiwan,2023-02-21,1,1,NA,b_asia_import
37,THA,Thailand,71697.03,716970,0.38977635782747605,38.977635782747605,TH,15.119946831,101.014952094,Thailand,THA,101.014952094,15.119946831,Thailand,2023-02-01,1,0,NA,c_import
42,VNM,Viet Nam,98186.856,981869,0.35303514376996803,35.3035143769968,VN,16.6516665545,106.304074627,Viet Nam,VTN,106.304074627,16.6516665545,Vietnam,2023-07-11,1,1,NA,b_asia_import
11,HKG,"Hong Kong, China",7488.865,74889,0.33226837060702874,33.22683706070288,HK,22.396428,114.109497,"Hong Kong, China",NA,NA,NA,Hong Kong,2023-02-04,1,1,NA,b_asia_import
29,PHL,Philippines,115559.009,1155590,0.28913738019169327,28.913738019169326,PH,11.7474652876,122.873669337,Philippines,PHL,122.873669337,11.7474652876,Philippines,2023-05-13,1,0,NA,c_import
23,MYS,Malaysia,33938.222,339382,0.2571884984025559,25.718849840255594,MY,3.79387584463,109.711591993,Malaysia,MAA,109.711591993,3.79387584463,Malaysia,2023-07-26,1,0,NA,c_import
32,SGP,Singapore,5975.688,59757,0.2507987220447284,25.079872204472842,SG,1.35124675463,103.807708909,Singapore,SIN,103.807708909,1.35124675463,Singapore,2023-01-04,1,0,2023-01-01 ~ 07,c_import
13,IDN,Indonesia,275501.339,2755013,0.24281150159744408,24.281150159744406,ID,-2.22899849342,117.311053163,Indonesia,INO,117.311053163,-2.22899849342,Indonesia,2023-10-13,1,0,NA,c_import
12,IND,India,1417173.173,14171732,0.21405750798722045,21.405750798722046,IN,22.8816926969,79.6218620648,India,IND,79.6218620648,22.8816926969,India,2023-01-06,1,0,NA,c_import
26,MMR,Myanmar,54179.306,541793,0.20607028753993611,20.60702875399361,MM,21.1402052526,96.508626348,Myanmar,MMR,96.508626348,21.1402052526,NA,NA,0,0,NA,d_no_import
7,KHM,Cambodia,16767.842,167678,0.20447284345047922,20.447284345047922,KH,12.7140839018,104.921277321,Cambodia,CAM,104.921277321,12.7140839018,Cambodia,2023-12-13,1,0,NA,c_import
39,TUR,Turkey,85341.241,853412,0.20447284345047922,20.447284345047922,TR,39.0606664573,35.179254592,Turkey,TUR,35.179254592,39.0606664573,NA,NA,0,0,NA,d_no_import
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.1900958466453674,19.009584664536742,LA,18.5024848306,103.763442998,Lao People's Democratic Republic,LAO,103.763442998,18.5024848306,Laos,2023-09-08,1,0,NA,c_import
40,ARE,United Arab Emirates,9441.128,94411,0.1900958466453674,19.009584664536742,AE,23.9126724147,54.3321883777,United Arab Emirates,UAE,54.3321883777,23.9126724147,NA,NA,0,0,NA,d_no_import
25,MNG,Mongolia,3398.366,33984,0.1853035143769968,18.53035143769968,MN,46.8352616673,103.083093028,Mongolia,MOG,103.083093028,46.8352616673,NA,NA,0,0,NA,d_no_import
31,SAU,Saudi Arabia,36408.82,364088,0.16134185303514376,16.134185303514375,SA,24.0809594956,44.5704829196,Saudi Arabia,SAA,44.5704829196,24.0809594956,Saudi Arabia,2023-02-05,1,0,NA,c_import
4,BGD,Bangladesh,171186.372,1711864,0.15175718849840256,15.175718849840255,BD,23.8329346975,90.2713397543,Bangladesh,BAN,90.2713397543,23.8329346975,NA,NA,0,0,NA,d_no_import
6,BRN,Brunei Darussalam,449.002,4490,0.1485623003194888,14.856230031948881,BN,4.52156494512,114.761378594,Brunei Darussalam,BRU,114.761378594,4.52156494512,NA,NA,0,0,NA,d_no_import
33,LKA,Sri Lanka,21832.143,218321,0.14696485623003194,14.696485623003195,LK,7.61239863443,80.7043195649,Sri Lanka,SRL,80.7043195649,7.61239863443,SriLanka,2023-06-07,1,1,NA,b_asia_import
17,KAZ,Kazakhstan,19397.998,193980,0.14376996805111822,14.376996805111823,KZ,48.1600931198,67.3013567637,Kazakhstan,KAZ,67.3013567637,48.1600931198,NA,NA,0,0,NA,d_no_import
19,KWT,Kuwait,4268.873,42689,0.14217252396166133,14.217252396166133,KW,29.3426760203,47.5938088226,Kuwait,KUW,47.5938088226,29.3426760203,NA,NA,0,0,NA,d_no_import
27,NPL,Nepal,30547.58,305476,0.14057507987220447,14.057507987220447,NP,28.2530571755,83.9385609342,Nepal,NEP,83.9385609342,28.2530571755,Nepal,2023-06-16,1,0,NA,c_import
24,MDV,Maldives,523.787,5238,0.13738019169329074,13.738019169329075,MV,3.37033256226,73.2525966506,Maldives,MAV,73.2525966506,3.37033256226,NA,NA,0,0,NA,d_no_import
41,UZB,Uzbekistan,34627.652,346277,0.13578274760383385,13.578274760383385,UZ,41.7494855205,63.1739362477,Uzbekistan,UZB,63.1739362477,41.7494855205,NA,NA,0,0,NA,d_no_import
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.134185303514377,13.418530351437699,IR,32.5648469638,54.3014627758,"Iran, Islamic Republic of",IRA,54.3014627758,32.5648469638,NA,NA,0,0,NA,d_no_import
28,OMN,Oman,4576.298,45763,0.13258785942492013,13.258785942492013,OM,20.6021384815,56.1098749131,Oman,OMA,56.1098749131,20.6021384815,Oman,2023-10-12,1,0,NA,c_import
38,TLS,Timor-Leste,1341.296,13413,0.12460063897763578,12.460063897763577,TL,-8.82051212777,125.861026989,Timor-Leste,TLS,125.861026989,-8.82051212777,NA,NA,0,0,NA,d_no_import
16,JOR,Jordan,11285.868,112859,0.11980830670926518,11.980830670926517,JO,31.2534314175,36.7869916426,Jordan,JOR,36.7869916426,31.2534314175,NA,NA,0,0,NA,d_no_import
30,QAT,Qatar,2695.122,26951,0.1182108626198083,11.821086261980831,QA,25.3158517135,51.1912640242,Qatar,QAT,51.1912640242,25.3158517135,NA,NA,0,0,NA,d_no_import
10,GEO,Georgia,3744.385,37444,0.1134185303514377,11.341853035143771,GE,42.1763655207,43.5176282353,Georgia,GEO,43.5176282353,42.1763655207,NA,NA,0,0,NA,d_no_import
2,AZE,Azerbaijan,10358.074,103581,0.10383386581469649,10.383386581469649,AZ,40.2922678414,47.5323904965,Azerbaijan,AZE,47.5323904965,40.2922678414,NA,NA,0,0,NA,d_no_import
3,BHR,Bahrain,1472.233,14722,0.09904153354632587,9.904153354632587,BH,26.0194604268,50.5625423486,Bahrain,BAA,50.5625423486,26.0194604268,Bahrain,2023-04-16,1,0,NA,c_import
22,LBN,Lebanon,5489.74,54897,0.09744408945686901,9.744408945686901,LB,33.9204952786,35.8881491197,Lebanon,LEB,35.8881491197,33.9204952786,Lebanon,2023-01-22,1,0,NA,c_import
34,SYR,Syrian Arab Republic,22125.249,221252,0.0878594249201278,8.78594249201278,SY,35.0131270058,38.5059120464,Syrian Arab Republic,SYR,38.5059120464,35.0131270058,NA,NA,0,0,NA,d_no_import
20,KGZ,Kyrgyzstan,6630.623,66306,0.08466453674121406,8.466453674121405,KG,41.467755424,74.5621063377,Kyrgyzstan,KGZ,74.5621063377,41.467755424,NA,NA,0,0,NA,d_no_import
1,ARM,Armenia,2780.469,27805,0.07987220447284345,7.987220447284344,AM,40.2864625795,44.9479689182,Armenia,ARM,44.9479689182,40.2864625795,NA,NA,0,0,NA,d_no_import
5,BTN,Bhutan,782.455,7825,0.07827476038338659,7.827476038338658,BT,27.4155639238,90.429491776,Bhutan,BHU,90.429491776,27.4155639238,NA,NA,0,0,NA,d_no_import
36,TJK,Tajikistan,9952.787,99528,0.06389776357827476,6.3897763578274756,TJ,38.5292934717,71.0418513562,Tajikistan,TJK,71.0418513562,38.5292934717,NA,NA,0,0,NA,d_no_import
9,CYP,Cyprus,1251.488,12515,0.04313099041533546,4.313099041533546,CY,35.0430404095,33.218689859,Cyprus,CYP,33.218689859,35.0430404095,NA,NA,0,0,NA,d_no_import
